motif,top.potential.TF.family,top.potential.TF.subfamily,potential.TF.family,potential.TF.subfamily,top_5percent_TFs
GBX2.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;SPDEF;\ldots
HMBX1.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
HME1.D,EMX1,NA,EMX1;LBX2,NA,FOXA1;GATA3;ESR1;SPDEF;MYB;\ldots
HNF1A.C,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
HNF1B.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
HNF1B1.A,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
HNF4A.A,NR2E3,NA,NR2E3;NR2F6,NA,FOXA1;GATA3;ESR1;RARA;SPDEF;\ldots
HNF6.B,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;RARA;\ldots
HOMEZ.D,HOMEZ,HOMEZ,HOMEZ,HOMEZ,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
HXA10.C,NA,NA,NA,NA,FOXA1;GATA3;ESR1;RARA;SPDEF;\ldots
HXA11.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
HXA2.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;CXXC5;\ldots
HXA9.B,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;RARA;\ldots
HXB7.C,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;RARA;\ldots
HXC12.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
HXC13.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;SPDEF;RARA;\ldots
HXC6.D,NA,NA,NA,NA,FOXA1;GATA3;ESR1;CXXC5;SPDEF;\ldots
